epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,20551.7,0.15801,0.13527,0.8193,0.98219,0.96536,0.98287,0.98097,0.10978,0.08749,0.82894,0.005479,0.005479,0.005479
139,20698.9,0.15442,0.12798,0.81595,0.98368,0.96512,0.98289,0.98098,0.10969,0.08746,0.829,0.005446,0.005446,0.005446
140,20847.5,0.15525,0.13071,0.81592,0.98224,0.9652,0.98292,0.98101,0.1094,0.08727,0.8291,0.005413,0.005413,0.005413
141,20995.6,0.1539,0.12894,0.8166,0.98072,0.96545,0.98295,0.98104,0.10907,0.08717,0.82924,0.00538,0.00538,0.00538
142,21143.3,0.15525,0.1356,0.81697,0.98028,0.96545,0.98297,0.98105,0.10889,0.08709,0.82919,0.005347,0.005347,0.005347
143,21290.5,0.15332,0.1292,0.81732,0.98006,0.96536,0.98297,0.98105,0.10904,0.08679,0.82938,0.005314,0.005314,0.005314
144,21440.4,0.15668,0.13088,0.81779,0.98076,0.96544,0.98296,0.98105,0.10884,0.08659,0.82931,0.005281,0.005281,0.005281
145,21587.8,0.15589,0.1295,0.82013,0.98081,0.96553,0.98296,0.98104,0.10847,0.08641,0.8291,0.005248,0.005248,0.005248
146,21736.5,0.15594,0.14134,0.81977,0.98,0.96561,0.98296,0.98105,0.10787,0.08613,0.82894,0.005215,0.005215,0.005215
147,21884.8,0.15597,0.12944,0.81806,0.98212,0.9654,0.98295,0.98104,0.10751,0.08587,0.82889,0.005182,0.005182,0.005182
148,22032.5,0.1532,0.12993,0.816,0.98204,0.96553,0.98294,0.98103,0.10745,0.08587,0.82881,0.005149,0.005149,0.005149
149,22181.1,0.15335,0.12832,0.81662,0.9825,0.96553,0.98293,0.98102,0.10758,0.08592,0.82876,0.005116,0.005116,0.005116
150,22332.5,0.15253,0.12962,0.81845,0.98216,0.96553,0.9829,0.981,0.10766,0.08563,0.82877,0.005083,0.005083,0.005083
151,22479.8,0.15305,0.12695,0.81723,0.98134,0.96577,0.98291,0.98099,0.10793,0.08595,0.82872,0.00505,0.00505,0.00505
152,22629.2,0.15002,0.12677,0.81555,0.98123,0.96585,0.9829,0.98099,0.10826,0.0857,0.82878,0.005017,0.005017,0.005017
153,22777.3,0.1535,0.13319,0.81832,0.97975,0.96597,0.98287,0.98097,0.10796,0.08549,0.82884,0.004984,0.004984,0.004984
154,22925,0.14975,0.1285,0.81507,0.97895,0.96619,0.98285,0.98095,0.10782,0.08568,0.82876,0.004951,0.004951,0.004951
155,23074.3,0.1506,0.12762,0.81555,0.97934,0.96623,0.98285,0.98095,0.10772,0.08548,0.82875,0.004918,0.004918,0.004918
156,23221.4,0.1495,0.1273,0.81567,0.97833,0.96636,0.98283,0.98093,0.10758,0.08543,0.82867,0.004885,0.004885,0.004885
157,23369.5,0.14934,0.12862,0.81527,0.97808,0.96628,0.98283,0.98093,0.10757,0.08535,0.82873,0.004852,0.004852,0.004852
158,23518.6,0.14677,0.12678,0.81559,0.97784,0.96648,0.98282,0.98093,0.10771,0.08525,0.82884,0.004819,0.004819,0.004819
159,23666.5,0.14782,0.12624,0.81465,0.97744,0.96664,0.98281,0.98089,0.10768,0.08525,0.82902,0.004786,0.004786,0.004786
160,23814.6,0.14409,0.1255,0.81286,0.97959,0.96628,0.98278,0.98087,0.10764,0.08522,0.82912,0.004753,0.004753,0.004753
161,23963.9,0.14197,0.12456,0.81323,0.97902,0.96652,0.98275,0.98084,0.10754,0.08522,0.82915,0.00472,0.00472,0.00472
162,24111,0.14434,0.12488,0.81831,0.9783,0.96644,0.98273,0.98083,0.10714,0.08502,0.82902,0.004687,0.004687,0.004687
163,24260.1,0.14702,0.12558,0.81383,0.97812,0.96653,0.98272,0.98081,0.10768,0.08576,0.82908,0.004654,0.004654,0.004654
164,24408.9,0.1455,0.12452,0.81409,0.97829,0.96636,0.98271,0.9808,0.10743,0.08539,0.82891,0.004621,0.004621,0.004621
165,24556.5,0.1468,0.12591,0.81618,0.97888,0.96645,0.98271,0.98081,0.10716,0.08528,0.82877,0.004588,0.004588,0.004588
166,24705.9,0.14587,0.12522,0.81513,0.97872,0.96659,0.98274,0.98083,0.10681,0.08518,0.82884,0.004555,0.004555,0.004555
167,24853.1,0.14621,0.1237,0.81822,0.9785,0.96644,0.98276,0.98085,0.10675,0.0852,0.82885,0.004522,0.004522,0.004522
168,25000.9,0.14301,0.12187,0.81512,0.9773,0.96677,0.98277,0.98085,0.10671,0.0849,0.82902,0.004489,0.004489,0.004489
169,25150.2,0.15251,0.14199,0.81697,0.97698,0.96677,0.98278,0.98087,0.10662,0.08491,0.82912,0.004456,0.004456,0.004456
170,25297.4,0.14266,0.12202,0.81528,0.977,0.96669,0.98278,0.98087,0.10653,0.08467,0.8292,0.004423,0.004423,0.004423
171,25445.7,0.14142,0.12196,0.81309,0.97692,0.96685,0.98278,0.98086,0.10638,0.08477,0.82916,0.00439,0.00439,0.00439
172,25595,0.14196,0.12232,0.81361,0.97853,0.96653,0.98275,0.98084,0.10652,0.08478,0.82931,0.004357,0.004357,0.004357
173,25742.1,0.14159,0.12045,0.81326,0.9786,0.96653,0.98271,0.9808,0.1068,0.08476,0.82931,0.004324,0.004324,0.004324
174,25890.8,0.14215,0.12186,0.81338,0.97868,0.96653,0.98266,0.98077,0.10669,0.0845,0.82929,0.004291,0.004291,0.004291
175,26038.9,0.14058,0.1213,0.81277,0.97842,0.96666,0.9826,0.9807,0.10612,0.08413,0.8292,0.004258,0.004258,0.004258
176,26186.5,0.13833,0.12078,0.81338,0.97823,0.96677,0.98253,0.98064,0.10547,0.08353,0.82905,0.004225,0.004225,0.004225
177,26335.9,0.13984,0.12062,0.81367,0.97798,0.96676,0.98242,0.98054,0.10541,0.08338,0.82924,0.004192,0.004192,0.004192
178,26482.9,0.1381,0.11884,0.8112,0.97766,0.96676,0.98243,0.98055,0.10535,0.08341,0.82935,0.004159,0.004159,0.004159
179,26630.9,0.14012,0.11959,0.81165,0.97727,0.96693,0.98248,0.98057,0.10539,0.08355,0.82918,0.004126,0.004126,0.004126
180,26780,0.13696,0.12083,0.81144,0.97703,0.96701,0.98249,0.98061,0.10541,0.0833,0.82899,0.004093,0.004093,0.004093
181,26927.2,0.13766,0.12096,0.81237,0.97717,0.96701,0.98253,0.98064,0.1049,0.08316,0.8289,0.00406,0.00406,0.00406
182,27076.3,0.13829,0.11984,0.81277,0.97693,0.96716,0.98251,0.98063,0.10464,0.08275,0.82878,0.004027,0.004027,0.004027
183,27225.1,0.13465,0.11737,0.80978,0.97733,0.96709,0.98251,0.98063,0.10433,0.08255,0.82865,0.003994,0.003994,0.003994
184,27372.5,0.13803,0.11993,0.81159,0.97717,0.96715,0.98244,0.9806,0.10404,0.08241,0.82852,0.003961,0.003961,0.003961
185,27521.8,0.13627,0.13181,0.8098,0.9771,0.96708,0.98235,0.98052,0.104,0.08235,0.82847,0.003928,0.003928,0.003928
186,27669.1,0.13539,0.11799,0.81108,0.9772,0.96717,0.98235,0.98052,0.10389,0.08221,0.82832,0.003895,0.003895,0.003895
187,27817.2,0.13568,0.11874,0.81009,0.97802,0.96707,0.98228,0.98046,0.104,0.0822,0.82823,0.003862,0.003862,0.003862
188,27966.5,0.13487,0.11628,0.81058,0.97779,0.96717,0.98229,0.98047,0.10413,0.08231,0.82808,0.003829,0.003829,0.003829
