epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,15208.3,0.19438,0.13925,0.78909,0.99998,0.99991,0.995,0.99475,0.10917,0.0805,0.75871,0.006535,0.006535,0.006535
107,15352.9,0.1919,0.13943,0.78977,0.99998,0.99991,0.995,0.99476,0.10886,0.08032,0.75876,0.006502,0.006502,0.006502
108,15495.4,0.19335,0.13875,0.78855,0.99998,0.99991,0.995,0.99476,0.10867,0.08032,0.7588,0.006469,0.006469,0.006469
109,15640,0.19207,0.13628,0.78831,0.99998,0.99991,0.995,0.99476,0.10841,0.07996,0.75882,0.006436,0.006436,0.006436
110,15784.2,0.19302,0.13774,0.78753,0.99998,0.99991,0.995,0.99474,0.10822,0.08005,0.75884,0.006403,0.006403,0.006403
111,15929.2,0.19333,0.13884,0.78989,0.99998,0.99991,0.995,0.99473,0.1079,0.08013,0.75885,0.00637,0.00637,0.00637
112,16073.7,0.19108,0.13721,0.78953,0.99998,0.99991,0.995,0.99473,0.10758,0.08004,0.75879,0.006337,0.006337,0.006337
113,16216.2,0.18967,0.13764,0.78841,0.99998,0.99991,0.995,0.9947,0.10739,0.07994,0.759,0.006304,0.006304,0.006304
114,16361,0.18789,0.13567,0.7873,0.99998,0.99991,0.995,0.99472,0.10709,0.07991,0.75901,0.006271,0.006271,0.006271
115,16503.6,0.19114,0.13739,0.78914,0.99997,0.99991,0.995,0.99471,0.10697,0.07978,0.75905,0.006238,0.006238,0.006238
116,16648.6,0.18776,0.1347,0.78703,0.99997,0.99991,0.995,0.99472,0.10685,0.08008,0.75896,0.006205,0.006205,0.006205
117,16793.1,0.18752,0.13485,0.78796,0.99997,0.99991,0.995,0.99472,0.10655,0.07982,0.75894,0.006172,0.006172,0.006172
118,16935.7,0.18866,0.13662,0.78715,0.99997,0.99991,0.995,0.99472,0.10612,0.07963,0.75884,0.006139,0.006139,0.006139
119,17078.5,0.18661,0.13482,0.78839,0.99998,0.99991,0.995,0.99473,0.10557,0.07949,0.75876,0.006106,0.006106,0.006106
120,17223,0.18509,0.13572,0.78806,0.99998,0.99991,0.995,0.99475,0.10524,0.07944,0.75874,0.006073,0.006073,0.006073
121,17366.5,0.18427,0.13474,0.78817,0.99998,0.99991,0.995,0.99474,0.10519,0.07928,0.75875,0.00604,0.00604,0.00604
122,17510.4,0.1848,0.13413,0.78685,0.99998,0.99991,0.995,0.99471,0.10476,0.07934,0.7588,0.006007,0.006007,0.006007
123,17654.2,0.18357,0.13262,0.78728,0.99998,0.99991,0.995,0.99468,0.10469,0.07964,0.75882,0.005974,0.005974,0.005974
124,17797.7,0.17997,0.13223,0.78627,0.99998,0.99991,0.995,0.99471,0.10444,0.07971,0.75884,0.005941,0.005941,0.005941
125,17942.5,0.18105,0.13362,0.78741,0.99998,0.99991,0.995,0.9947,0.1043,0.07947,0.75889,0.005908,0.005908,0.005908
126,18085,0.1798,0.13246,0.78739,0.99998,0.99991,0.995,0.99467,0.10425,0.07922,0.75896,0.005875,0.005875,0.005875
127,18227.9,0.18057,0.1325,0.78722,0.99998,0.99991,0.995,0.99466,0.10387,0.0786,0.75893,0.005842,0.005842,0.005842
128,18371,0.17883,0.12918,0.7863,0.99998,0.99991,0.995,0.99466,0.1034,0.07824,0.75893,0.005809,0.005809,0.005809
129,18515.4,0.18284,0.13154,0.7872,0.99998,0.99991,0.995,0.99468,0.10305,0.07775,0.75888,0.005776,0.005776,0.005776
130,18658.6,0.17919,0.13179,0.7867,0.99998,0.99991,0.995,0.99467,0.10279,0.07743,0.75887,0.005743,0.005743,0.005743
131,18801.4,0.17856,0.13083,0.78573,0.99998,0.99991,0.995,0.99469,0.10252,0.07739,0.75887,0.00571,0.00571,0.00571
