epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,16797.7,0.17754,0.1333,0.79373,0.99999,1,0.995,0.99499,0.09242,0.06924,0.75946,0.006304,0.006304,0.006304
114,16964.2,0.17833,0.13366,0.79317,0.99999,1,0.995,0.99499,0.09173,0.06917,0.75938,0.006271,0.006271,0.006271
115,17150,0.17449,0.12974,0.79131,0.99999,1,0.995,0.99499,0.09172,0.06935,0.75934,0.006238,0.006238,0.006238
116,17294,0.17501,0.12706,0.79251,0.99999,1,0.995,0.99499,0.09175,0.06976,0.75932,0.006205,0.006205,0.006205
117,17436.3,0.17216,0.12684,0.79131,0.99999,1,0.995,0.99499,0.09168,0.07017,0.75929,0.006172,0.006172,0.006172
118,17580.3,0.17262,0.12726,0.79167,0.99999,1,0.995,0.99499,0.09153,0.07084,0.75935,0.006139,0.006139,0.006139
119,17749.9,0.17116,0.12566,0.79205,0.99999,1,0.995,0.99499,0.09118,0.07113,0.75918,0.006106,0.006106,0.006106
120,17937.3,0.16971,0.12639,0.79186,0.99999,1,0.995,0.99499,0.09114,0.07178,0.75909,0.006073,0.006073,0.006073
121,18105.1,0.17182,0.1275,0.79313,0.99999,1,0.995,0.99499,0.09146,0.0727,0.75908,0.00604,0.00604,0.00604
122,18286.4,0.17197,0.12637,0.79136,0.99999,1,0.995,0.99499,0.09104,0.07253,0.75903,0.006007,0.006007,0.006007
123,18447,0.16994,0.12544,0.79286,0.99999,1,0.995,0.99499,0.09067,0.07273,0.75891,0.005974,0.005974,0.005974
124,18591.2,0.17295,0.12629,0.79253,0.99999,1,0.995,0.99499,0.09019,0.07259,0.75876,0.005941,0.005941,0.005941
125,18735.9,0.16925,0.12418,0.79193,0.99999,1,0.995,0.99499,0.08975,0.07201,0.75864,0.005908,0.005908,0.005908
126,18879.4,0.17074,0.12589,0.79172,0.99999,1,0.995,0.99499,0.08944,0.07158,0.75863,0.005875,0.005875,0.005875
127,19022.8,0.16747,0.12639,0.79183,0.99999,1,0.995,0.99499,0.08901,0.07101,0.75865,0.005842,0.005842,0.005842
128,19165.8,0.16803,0.12344,0.79097,0.99999,1,0.995,0.99499,0.08838,0.07034,0.75858,0.005809,0.005809,0.005809
129,19309.4,0.17381,0.12562,0.7922,0.99999,1,0.995,0.99499,0.08774,0.06952,0.75859,0.005776,0.005776,0.005776
130,19451.7,0.17091,0.12718,0.79007,0.99999,1,0.995,0.99499,0.08729,0.06933,0.75867,0.005743,0.005743,0.005743
131,19595.3,0.16624,0.12609,0.79071,0.99999,1,0.995,0.99499,0.08673,0.06929,0.75862,0.00571,0.00571,0.00571
132,19738.8,0.16798,0.1248,0.79124,0.99999,1,0.995,0.99499,0.08611,0.06939,0.7587,0.005677,0.005677,0.005677
133,19882.1,0.16732,0.12399,0.79217,0.99999,1,0.995,0.99499,0.08557,0.06948,0.7587,0.005644,0.005644,0.005644
134,20024.7,0.16692,0.12259,0.79137,0.99999,1,0.995,0.99499,0.08467,0.06899,0.75859,0.005611,0.005611,0.005611
135,20167.2,0.16835,0.12463,0.79194,0.99999,1,0.995,0.99499,0.0839,0.0683,0.75854,0.005578,0.005578,0.005578
136,20309.8,0.16405,0.12427,0.79113,0.99999,1,0.995,0.99499,0.08319,0.06818,0.75845,0.005545,0.005545,0.005545
137,20453.2,0.16314,0.12171,0.79143,0.99999,1,0.995,0.99499,0.08271,0.06772,0.75836,0.005512,0.005512,0.005512
138,20595.5,0.16463,0.12272,0.79122,0.99999,1,0.995,0.99499,0.08231,0.06706,0.75832,0.005479,0.005479,0.005479
139,20738.2,0.16276,0.12178,0.78985,0.99999,1,0.995,0.995,0.08182,0.06692,0.75824,0.005446,0.005446,0.005446
140,20880.8,0.16208,0.12232,0.78914,0.99999,1,0.995,0.99499,0.08126,0.06629,0.75824,0.005413,0.005413,0.005413
141,21024.3,0.16145,0.12095,0.79067,0.99999,1,0.995,0.99499,0.08011,0.06546,0.7582,0.00538,0.00538,0.00538
142,21168.6,0.16922,0.12428,0.79222,0.99999,1,0.995,0.995,0.0795,0.06495,0.75816,0.005347,0.005347,0.005347
143,21311.3,0.1665,0.12083,0.79082,0.99999,1,0.995,0.995,0.079,0.06452,0.75815,0.005314,0.005314,0.005314
144,21453.9,0.16428,0.12254,0.79186,0.99999,1,0.995,0.995,0.0783,0.06372,0.75817,0.005281,0.005281,0.005281
145,21596,0.16255,0.12044,0.79033,0.99999,1,0.995,0.995,0.07767,0.06303,0.75817,0.005248,0.005248,0.005248
146,21738.2,0.1642,0.12018,0.78986,0.99999,1,0.995,0.99499,0.07711,0.0628,0.75815,0.005215,0.005215,0.005215
147,21880.5,0.16349,0.11964,0.78973,0.99999,1,0.995,0.995,0.07675,0.0625,0.75812,0.005182,0.005182,0.005182
148,22024.5,0.16413,0.12154,0.79109,0.99999,1,0.995,0.995,0.07636,0.06223,0.75815,0.005149,0.005149,0.005149
149,22167.4,0.16294,0.11895,0.7911,0.99999,1,0.995,0.995,0.07599,0.06185,0.75811,0.005116,0.005116,0.005116
